Time (s), Cell Name, Value
9.311159999999999, C030, 1078.713
25.88102, C030, 1160.594
52.71318, C030, 479.8628
80.89696000000001, C030, 691.8623
82.29864000000001, C030, 1054.751
89.90776, C030, 1695.597
129.9057, C030, 897.1661
130.9069, C030, 2370.129
131.70786, C030, 3679.587
133.51002, C030, 2870.927
136.36344, C030, 3504.891
142.1704, C030, 2529.723
144.12274, C030, 2348.654
146.4255, C030, 2216.358
147.4267, C030, 641.6131
149.32898, C030, 1919.347
150.33018, C030, 452.3751
150.48036, C030, 1071.571
151.73186, C030, 3670.286
153.4339, C030, 2375.427
158.89044, C030, 3516.984
162.1944, C030, 915.3275
162.49476, C030, 2109.448
168.25166, C030, 2527.982
50.06, C031, 579.504
50.66072, C031, 2763.339
88.95662, C031, 783.4603
89.55734, C031, 1374.905
99.21892, C031, 1045.736
99.56934, C031, 1683.162
112.53488, C031, 2038.498
113.08554, C031, 1294.601
114.1368, C031, 1825.625
115.53848, C031, 2774.657
116.73992, C031, 390.5045
121.19526, C031, 601.9496
121.44556, C031, 1117.879
121.8961, C031, 481.2222
122.04628, C031, 2110.936
132.70906, C031, 533.16
135.01182, C031, 2656.684
136.21326, C031, 2765.095
138.71626, C031, 2763.518
140.4183, C031, 312.5409
140.56848, C031, 1530.548
141.51962, C031, 1719.42
143.32178, C031, 872.6158
144.07268, C031, 696.5145
146.4255, C031, 1926.303
148.97856, C031, 546.9535
152.98336, C031, 787.8967
155.63654, C031, 701.8434
157.63894, C031, 2292.375
161.39344, C031, 2104.705
264.11656, C031, 726.9904
267.5707, C031, 930.9042
273.77814, C031, 1390.279
277.98318, C031, 774.7565
4.70564, C032, 545.0824
5.10612, C032, 569.6997
5.35642, C032, 1036.427
7.509, C032, 473.3185
7.7593, C032, 440.4684
9.06086, C032, 458.0061
10.5126, C032, 675.5073
26.98234, C032, 495.6642
29.43528, C032, 1796.248
33.39002, C032, 583.0626
33.74044, C032, 998.918
49.25904, C032, 436.9391
171.30532, C032, 439.0307
254.20468, C032, 721.5546
255.20588, C032, 891.9924
281.03684, C032, 470.3788
29.13492, C033, 1106.845
29.7857, C033, 1208.241
31.23744, C033, 872.7695
31.88822, C033, 1464.943
70.98508, C033, 385.2602
168.40184, C033, 1686.299
169.7034, C033, 1899.315
177.01216, C033, 401.4324
177.26246, C033, 472.6572
177.56282, C033, 423.5215
177.9633, C033, 426.4833
235.98284, C033, 430.2291
237.93518, C033, 1453.59
279.68522, C033, 525.6346
279.8354, C033, 543.3224
280.38606, C033, 2138.514
281.43732, C033, 1362.238
283.18942, C033, 1127.488
303.31354, C033, 630.6151
305.71642, C033, 1529.517
306.21702, C033, 2107.334
314.32674, C033, 1583.559
314.6271, C033, 908.0565
96.06514, C034, 1465.176
97.41676, C034, 1170.852
97.96742, C034, 1699.008
98.66826, C034, 2905.243
101.52168, C034, 3411.443
103.1236, C034, 1145.709
103.47402, C034, 1242.051
105.52648, C034, 720.4336
105.8769, C034, 2709.344
132.00822, C034, 674.2977
153.53402, C034, 2833.915
154.23486, C034, 514.5798
154.48516, C034, 1542.901
156.38744, C034, 1574.916
158.74026, C034, 3533.015
237.13422, C034, 641.1082
238.7862, C034, 893.1645
241.63962, C034, 375.6538
241.83986, C034, 521.8055
242.49064, C034, 322.8809
242.69088, C034, 1721.116
243.59196, C034, 362.0871
